codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones
01611002,DGA,dga_web,Apamilca (Camia),2600,-19.2967,-69.3867,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,1986-01-01,1990-04-01,44
01611001,DGA,dga_web,Camia,2500,-19.3136,-69.4172,16,Costeras R.Camarones-Pampa Del Tamarugal,161,Quebrada De Camina,1971-01-01,2016-01-01,461
01720004,DGA,dga_web,Puchultiza,4300,-19.4136,-68.9422,17,Pampa Del Tamarugal,172,Quebrada De Aroma,1982-09-01,1988-12-01,76
01720006,DGA,dga_web,Chiapa,3155,-19.5369,-69.205,17,Pampa Del Tamarugal,172,Quebrada De Aroma,2012-02-01,2016-01-01,43
01730020,DGA,dga_web,Chuzmiza,3400,-19.6831,-69.1833,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1988-12-01,2016-01-01,307
01730015,DGA,dga_web,Pampa Lirima Dcp,5100,-19.7653,-68.8581,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1982-10-01,1984-11-01,24
01730007,DGA,dga_web,Q. Tarapaca En Sibaya,2830,-19.7831,-69.1433,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,2004-03-01,2016-05-01,136
01730019,DGA,dga_web,Mocha,2150,-19.8097,-69.2731,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1988-01-01,2016-01-01,308
01730016,DGA,dga_web,Pampa Lirima,4076,-19.8472,-68.8544,17,Pampa Del Tamarugal,173,Quebrada De Tarapaca,1977-10-01,1989-05-01,136
01042001,DGA,dga_web,Cancosa,3930,-19.8553,-68.6017,10,Altiplanicas,104,Entre Estero Sencata Y Rio Sacaya,1976-04-01,2012-04-01,402
